[0.49624060150400001, 'K=', '367\n']
[0.49632352941199998, 'K=', '228\n']
[0.49635036496399998, 'K=', '226\n']
[0.49640287769800001, 'K=', '222\n']
[0.49645390070899997, 'K=', '218\n']
[0.49647887323899997, 'K=', '216\n']
[0.49674620390500002, 'K=', '39\n']
[0.49677419354800001, 'K=', '190\n']
[0.49694501018300002, 'K=', '9\n']
[0.49726775956300001, 'K=', '134\n']
[0.49770642201800003, 'K=', '64\n']
[0.49809885931600001, 'K=', '237\n']
[0.49815498154999999, 'K=', '229\n']
[0.49818181818200002, 'K=', '225\n']
[0.498622589532, 'K=', '137\n']
[0.49883990719299998, 'K=', '69\n']
[0.498876404494, 'K=', '55\n']
[0.49892008639300001, 'K=', '37\n']
[0.5, 'K=', '102\n']
[0.5, 'K=', '104\n']
[0.5, 'K=', '118\n']
[0.5, 'K=', '126\n']
[0.5, 'K=', '128\n']
[0.5, 'K=', '130\n']
[0.5, 'K=', '132\n']
[0.5, 'K=', '136\n']
[0.5, 'K=', '224\n']
[0.5, 'K=', '232\n']
[0.5, 'K=', '236\n']
[0.5, 'K=', '368\n']
[0.5, 'K=', '376\n']
[0.5, 'K=', '378\n']
[0.5, 'K=', '380\n']
[0.5, 'K=', '384\n']
[0.5, 'K=', '414\n']
[0.5, 'K=', '438\n']
[0.5, 'K=', '464\n']
[0.5, 'K=', '472\n']
[0.5, 'K=', '474\n']
[0.5, 'K=', '476\n']
[0.5, 'K=', '478\n']
[0.5, 'K=', '480\n']
[0.5, 'K=', '486\n']
[0.5, 'K=', '488\n']
[0.5, 'K=', '490\n']
[0.5, 'K=', '492\n']
[0.50101419878300002, 'K=', '7\n']
[0.501210653753, 'K=', '87\n']
[0.50127877237899998, 'K=', '109\n']
[0.50133333333300001, 'K=', '125\n']
[0.50136239782000003, 'K=', '133\n']
[0.50147492625400003, 'K=', '161\n']
[0.50148367952499995, 'K=', '163\n']
[0.50149253731300003, 'K=', '165\n']
[0.50150150150200001, 'K=', '167\n']
[0.501858736059, 'K=', '231\n']
[0.50208333333300004, 'K=', '20\n']
[0.50246305418699999, 'K=', '94\n']
[0.50255102040800004, 'K=', '108\n']
[0.50265957446800003, 'K=', '124\n']
[0.50277777777800003, 'K=', '140\n']
[0.50284090909099999, 'K=', '148\n']
[0.50285714285700001, 'K=', '150\n']
[0.50294117647100001, 'K=', '160\n']
[0.50303030302999996, 'K=', '5\n']
[0.503067484663, 'K=', '11\n']
[0.50338600451500004, 'K=', '57\n']
[0.50397877984100004, 'K=', '123\n']
[0.50402144772099999, 'K=', '127\n']
[0.50406504065000002, 'K=', '131\n']
[0.50408163265299999, 'K=', '10\n']
[0.50410958904100001, 'K=', '135\n']
[0.504201680672, 'K=', '381\n']
[0.50425531914900001, 'K=', '30\n']
[0.50427350427399997, 'K=', '383\n']
[0.50453172205399999, 'K=', '169\n']
[0.50464396284799995, 'K=', '177\n']
[0.50483091787400003, 'K=', '86\n']
[0.505, 'K=', '100\n']
[0.50515463917500003, 'K=', '112\n']
[0.50518134714999996, 'K=', '114\n']
[0.50530035335699997, 'K=', '217\n']
[0.50566037735799996, 'K=', '235\n']
[0.50566893424000003, 'K=', '59\n']
[0.50602409638599999, 'K=', '168\n']
[0.506097560976, 'K=', '8\n']
[0.50617283950600001, 'K=', '95\n']
[0.50657894736800002, 'K=', '196\n']
[0.50672645739900002, 'K=', '54\n']
[0.50691244239599997, 'K=', '66\n']
[0.50699300699299998, 'K=', '214\n']
[0.50728155339799996, 'K=', '88\n']
[0.50733137829899999, 'K=', '159\n']
[0.50751879699199998, 'K=', '234\n']
[0.5078125, 'K=', '116\n']
[0.50797266514799999, 'K=', '61\n']
[0.50804597701099996, 'K=', '65\n']
[0.50808314087799999, 'K=', '67\n']
[0.50809716599200005, 'K=', '6\n']
[0.50825082508300001, 'K=', '197\n']
[0.50847457627100001, 'K=', '382\n']
[0.50877192982499997, 'K=', '158\n']
[0.50881612090700001, 'K=', '103\n']
[0.50887573964499999, 'K=', '162\n']
[0.50890585241700004, 'K=', '107\n']
[0.508997429306, 'K=', '111\n']
[0.50904977375600002, 'K=', '58\n']
[0.50923482849599999, 'K=', '121\n']
[0.50936329587999996, 'K=', '233\n']
[0.509615384615, 'K=', '188\n']
[0.50969529085900001, 'K=', '139\n']
[0.50974025974000003, 'K=', '192\n']
[0.50980392156900001, 'K=', '194\n']
[0.50997150997200003, 'K=', '149\n']
[0.51002865329500002, 'K=', '151\n']
[0.51014492753600005, 'K=', '155\n']
